Relation ID ; Absolute ; Relative ; Quadratic ; SquaredQError ; SquaredRelative ; Estimate ; Truth ; Tuples 
327985 ; 0.00024177 ; 0.56211722 ; 0.00000006 ; 0.19895355 ; 0.31597577 ; 6.718784e-04 ; 4.301075e-04 ; 4650
327985 ; 0.00546757 ; 0.51886112 ; 0.00002989 ; 0.53523756 ; 0.26921686 ; 5.070066e-03 ; 1.053763e-02 ; 4650
327985 ; 0.03512655 ; 0.40732786 ; 0.00123387 ; 0.27364818 ; 0.16591599 ; 5.111001e-02 ; 8.623656e-02 ; 4650
327985 ; 0.00685224 ; 0.45518420 ; 0.00004695 ; 0.36882243 ; 0.20719266 ; 8.201528e-03 ; 1.505376e-02 ; 4650
327985 ; 0.05473836 ; 0.43734254 ; 0.00299629 ; 0.33072190 ; 0.19126850 ; 7.042293e-02 ; 1.251613e-01 ; 4650
327985 ; 0.00034395 ; 1.59937098 ; 0.00000012 ; 0.91253979 ; 2.55798754 ; 5.590047e-04 ; 2.150538e-04 ; 4650
327985 ; 0.00009904 ; 0.05756630 ; 0.00000001 ; 0.00351527 ; 0.00331388 ; 1.621391e-03 ; 1.720430e-03 ; 4650
327985 ; 0.03850557 ; 0.33530134 ; 0.00148268 ; 0.16680810 ; 0.11242699 ; 7.633314e-02 ; 1.148387e-01 ; 4650
327985 ; 0.00080608 ; 0.18741249 ; 0.00000065 ; 0.04306939 ; 0.03512344 ; 3.495000e-03 ; 4.301075e-03 ; 4650
327985 ; 0.00016659 ; 0.19365705 ; 0.00000003 ; 0.04633090 ; 0.03750305 ; 6.936283e-04 ; 8.602151e-04 ; 4650
327985 ; 0.03076375 ; 0.48003844 ; 0.00094641 ; 0.42771652 ; 0.23043691 ; 3.332227e-02 ; 6.408602e-02 ; 4650
327985 ; 0.00150472 ; 0.99956630 ; 0.00000226 ; 59.95639974 ; 0.99913278 ; 6.527855e-07 ; 1.505376e-03 ; 4650
327985 ; 0.00796579 ; 0.54471929 ; 0.00006345 ; 0.61911894 ; 0.29671911 ; 6.657868e-03 ; 1.462366e-02 ; 4650
327985 ; 0.00300438 ; 0.99788339 ; 0.00000903 ; 37.92020018 ; 0.99577125 ; 6.372499e-06 ; 3.010753e-03 ; 4650
327985 ; 0.00202963 ; 0.25507565 ; 0.00000412 ; 0.08671412 ; 0.06506359 ; 5.927355e-03 ; 7.956989e-03 ; 4650
327985 ; 0.00654291 ; 0.51567001 ; 0.00004281 ; 0.52560876 ; 0.26591556 ; 6.145262e-03 ; 1.268817e-02 ; 4650
327985 ; 0.02671713 ; 0.40075695 ; 0.00071381 ; 0.26223413 ; 0.16060613 ; 3.994954e-02 ; 6.666667e-02 ; 4650
327985 ; 0.01833934 ; 0.52317757 ; 0.00033633 ; 0.54850483 ; 0.27371477 ; 1.671442e-02 ; 3.505376e-02 ; 4650
327985 ; 0.00063799 ; 0.98888617 ; 0.00000041 ; 20.24608593 ; 0.97789586 ; 7.170113e-06 ; 6.451613e-04 ; 4650
327985 ; 0.00048135 ; 0.01929559 ; 0.00000023 ; 0.00036526 ; 0.00037232 ; 2.542759e-02 ; 2.494624e-02 ; 4650
327985 ; 0.00000654 ; 0.00608147 ; 0.00000000 ; 0.00003676 ; 0.00003698 ; 1.081808e-03 ; 1.075269e-03 ; 4650
327985 ; 0.00121953 ; 1.89027516 ; 0.00000149 ; 1.12646745 ; 3.57314018 ; 1.864694e-03 ; 6.451613e-04 ; 4650
327985 ; 0.00010737 ; 0.24962903 ; 0.00000001 ; 0.04966067 ; 0.06231465 ; 5.374749e-04 ; 4.301075e-04 ; 4650
327985 ; 0.00270161 ; 0.30640247 ; 0.00000730 ; 0.13385604 ; 0.09388247 ; 6.115591e-03 ; 8.817204e-03 ; 4650
327985 ; 0.00086419 ; 1.00461864 ; 0.00000075 ; 0.48365604 ; 1.00925862 ; 1.724403e-03 ; 8.602151e-04 ; 4650
327985 ; 0.03724033 ; 0.41626806 ; 0.00138684 ; 0.28978132 ; 0.17327910 ; 5.222204e-02 ; 8.946237e-02 ; 4650
327985 ; 0.03184624 ; 0.44336827 ; 0.00101418 ; 0.34322189 ; 0.19657542 ; 3.998172e-02 ; 7.182796e-02 ; 4650
327985 ; 0.00708522 ; 0.50686551 ; 0.00005020 ; 0.49981132 ; 0.25691265 ; 6.893278e-03 ; 1.397849e-02 ; 4650
327985 ; 0.00706115 ; 0.41562454 ; 0.00004986 ; 0.28859630 ; 0.17274376 ; 9.928099e-03 ; 1.698925e-02 ; 4650
327985 ; 0.03262191 ; 0.58119487 ; 0.00106419 ; 0.75750835 ; 0.33778748 ; 2.350713e-02 ; 5.612903e-02 ; 4650
327985 ; 0.00821379 ; 0.38579945 ; 0.00006747 ; 0.23759168 ; 0.14884121 ; 1.307653e-02 ; 2.129032e-02 ; 4650
327985 ; 0.02483200 ; 0.43904491 ; 0.00061663 ; 0.33421629 ; 0.19276043 ; 3.172714e-02 ; 5.655914e-02 ; 4650
327985 ; 0.07901849 ; 0.40466518 ; 0.00624392 ; 0.26897843 ; 0.16375391 ; 1.162503e-01 ; 1.952688e-01 ; 4650
327985 ; 0.01729692 ; 0.14785052 ; 0.00029918 ; 0.02559786 ; 0.02185977 ; 9.969233e-02 ; 1.169892e-01 ; 4650
327985 ; 0.00059592 ; 5959192.59688137 ; 0.00000036 ; 243.37390689 ; 35511976406725.78125000 ; 5.959193e-04 ; 0.000000e+00 ; 4650
327985 ; 0.04977625 ; 0.38900767 ; 0.00247768 ; 0.24272459 ; 0.15132697 ; 7.818074e-02 ; 1.279570e-01 ; 4650
327985 ; 0.04272379 ; 0.40215717 ; 0.00182532 ; 0.26463553 ; 0.16173039 ; 6.351277e-02 ; 1.062366e-01 ; 4650
327985 ; 0.00239109 ; 0.23656558 ; 0.00000572 ; 0.07286116 ; 0.05596328 ; 7.716434e-03 ; 1.010753e-02 ; 4650
327985 ; 0.00000007 ; 669.75561406 ; 0.00000000 ; 42.35933381 ; 448572.58256944 ; 6.697556e-08 ; 0.000000e+00 ; 4650
327985 ; 0.00057569 ; 0.17846468 ; 0.00000033 ; 0.03864383 ; 0.03184964 ; 2.650114e-03 ; 3.225806e-03 ; 4650
327985 ; 0.00266512 ; 0.59013403 ; 0.00000710 ; 0.79553035 ; 0.34825817 ; 1.851008e-03 ; 4.516129e-03 ; 4650
327985 ; 0.03782852 ; 0.36119630 ; 0.00143100 ; 0.20084565 ; 0.13046277 ; 6.690267e-02 ; 1.047312e-01 ; 4650
327985 ; 0.00033139 ; 0.51365391 ; 0.00000011 ; 0.51960280 ; 0.26384034 ; 3.137716e-04 ; 6.451613e-04 ; 4650
327985 ; 0.00565840 ; 0.21745075 ; 0.00003202 ; 0.06012227 ; 0.04728483 ; 2.036311e-02 ; 2.602151e-02 ; 4650
327985 ; 0.00533358 ; 0.99204514 ; 0.00002845 ; 23.36728167 ; 0.98415355 ; 4.276799e-05 ; 5.376344e-03 ; 4650
327985 ; 0.00000488 ; 48796.06281550 ; 0.00000000 ; 116.54120961 ; 2381055746.29460096 ; 4.879606e-06 ; 0.000000e+00 ; 4650
327985 ; 0.01222614 ; 0.51217621 ; 0.00014948 ; 0.51523830 ; 0.26232447 ; 1.164483e-02 ; 2.387097e-02 ; 4650
327985 ; 0.07740745 ; 0.46867790 ; 0.00599191 ; 0.39991314 ; 0.21965898 ; 8.775384e-02 ; 1.651613e-01 ; 4650
327985 ; 0.00011948 ; 0.18519979 ; 0.00000001 ; 0.04194809 ; 0.03429896 ; 5.256775e-04 ; 6.451613e-04 ; 4650
327985 ; 0.05416038 ; 0.33624266 ; 0.00293335 ; 0.16796772 ; 0.11305913 ; 1.069149e-01 ; 1.610753e-01 ; 4650
327985 ; 0.02671258 ; 0.40859708 ; 0.00071356 ; 0.27589568 ; 0.16695157 ; 3.866376e-02 ; 6.537634e-02 ; 4650
327985 ; 0.00011368 ; 1136762.64404138 ; 0.00000001 ; 194.42665463 ; 1292229308887.94897461 ; 1.136763e-04 ; 0.000000e+00 ; 4650
327985 ; 0.00019144 ; 0.44510127 ; 0.00000004 ; 0.34688525 ; 0.19811514 ; 2.386661e-04 ; 4.301075e-04 ; 4650
327985 ; 0.00005163 ; 0.24009053 ; 0.00000000 ; 0.04630432 ; 0.05764346 ; 2.666862e-04 ; 2.150538e-04 ; 4650
327985 ; 0.01938227 ; 0.11629361 ; 0.00037567 ; 0.01528448 ; 0.01352420 ; 1.472844e-01 ; 1.666667e-01 ; 4650
327985 ; 0.05647026 ; 0.43117688 ; 0.00318889 ; 0.31830556 ; 0.18591350 ; 7.449748e-02 ; 1.309677e-01 ; 4650
327985 ; 0.03750852 ; 0.56812582 ; 0.00140689 ; 0.70496338 ; 0.32276694 ; 2.851298e-02 ; 6.602151e-02 ; 4650
327985 ; 0.00000134 ; 13369.18896127 ; 0.00000000 ; 90.26487387 ; 178735213.48209766 ; 1.336919e-06 ; 0.000000e+00 ; 4650
327985 ; 0.00660481 ; 0.69800842 ; 0.00004362 ; 1.43366172 ; 0.48721575 ; 2.857555e-03 ; 9.462366e-03 ; 4650
327985 ; 0.00114726 ; 0.23194553 ; 0.00000132 ; 0.06964037 ; 0.05379873 ; 3.798979e-03 ; 4.946237e-03 ; 4650
327985 ; 0.00581451 ; 0.37037627 ; 0.00003381 ; 0.21402919 ; 0.13717858 ; 9.884415e-03 ; 1.569892e-02 ; 4650
327985 ; 0.00341743 ; 0.75671626 ; 0.00001168 ; 1.99805818 ; 0.57261950 ; 1.098701e-03 ; 4.516129e-03 ; 4650
327985 ; 0.00012853 ; 1285304.31663418 ; 0.00000002 ; 197.86661492 ; 1652007186358.46777344 ; 1.285304e-04 ; 0.000000e+00 ; 4650
327985 ; 0.00163095 ; 0.68944899 ; 0.00000266 ; 1.36751298 ; 0.47533991 ; 7.346367e-04 ; 2.365591e-03 ; 4650
327985 ; 0.00279469 ; 0.39379779 ; 0.00000781 ; 0.25054196 ; 0.15507670 ; 4.302080e-03 ; 7.096774e-03 ; 4650
327985 ; 0.00734324 ; 0.54226966 ; 0.00005392 ; 0.61070325 ; 0.29405639 ; 6.198432e-03 ; 1.354167e-02 ; 4800
327985 ; 0.00007733 ; 0.37117727 ; 0.00000001 ; 0.21520868 ; 0.13777257 ; 1.310047e-04 ; 2.083333e-04 ; 4800
327985 ; 0.00008651 ; 0.01977300 ; 0.00000001 ; 0.00039884 ; 0.00039097 ; 4.288493e-03 ; 4.375000e-03 ; 4800
327985 ; 0.00042169 ; 1.01206520 ; 0.00000018 ; 0.48882702 ; 1.02427597 ; 8.383606e-04 ; 4.166667e-04 ; 4800
327985 ; 0.00002818 ; 281829.96641816 ; 0.00000000 ; 157.47897616 ; 79428129971.26208496 ; 2.818300e-05 ; 0.000000e+00 ; 4800
327985 ; 0.00083167 ; 0.99800129 ; 0.00000069 ; 38.62935527 ; 0.99600657 ; 1.665494e-06 ; 8.333333e-04 ; 4800
327985 ; 0.00075756 ; 0.51947294 ; 0.00000057 ; 0.53710099 ; 0.26985214 ; 7.007686e-04 ; 1.458333e-03 ; 4800
327985 ; 0.00237312 ; 0.25888624 ; 0.00000563 ; 0.08976085 ; 0.06702209 ; 6.793543e-03 ; 9.166667e-03 ; 4800
327985 ; 0.02574823 ; 0.28477305 ; 0.00066297 ; 0.11232912 ; 0.08109569 ; 6.466844e-02 ; 9.041667e-02 ; 4800
